epoch	loss	acc	val_loss	val_acc
0	3.895481432642762	0.08582049921289506	3.291027461374559	0.2099132589912769
1	3.0737938148571464	0.2384492830684447	2.689305316589431	0.34349442380659345
2	2.628764735443188	0.34211364843809916	2.3635213760933764	0.4200743494571511
3	2.311449636833122	0.41125862987131373	2.1771829085426853	0.4515489467310049
4	2.111350667166444	0.457355284133745	1.9153940799363336	0.512267658007337
5	1.8801718745532976	0.5122676580178883	1.7601113773189956	0.5657992565203481
6	1.7081525558622606	0.5564524695142684	1.6691536138492002	0.5784386617248091
7	1.5479511671982986	0.5940520446223271	1.4989380042053657	0.6299876084410421
8	1.3707392933390208	0.6439723845181539	1.3725687014569137	0.6602230483419095
9	1.2735372949013732	0.6644715879423088	1.2782136862015046	0.6842627013778451
10	1.1468667405625321	0.6966542751055984	1.1766000677514106	0.7026022304980433
11	1.0723738387868054	0.715347849227492	1.103103452101073	0.7211895910928389
12	0.9423969653775828	0.7479553903852191	1.0833115393787511	0.7266418835192069
13	0.8895226434640788	0.7624004248666181	1.032263727022665	0.7365551425178698
14	0.8837473528978993	0.7562400424980573	1.016628272611708	0.7387856257744734
15	0.7628023907281083	0.7949017525478936	0.9585172752760895	0.7496902106567535
16	0.7645057306888569	0.7924588423236152	0.8800670953857559	0.774721189591078
17	0.6589933426596671	0.817525225716326	0.8701141163466736	0.7707558859975217
18	0.6308014247497218	0.8230483271375465	0.9110247184943681	0.765551425030979
19	0.5741254564681334	0.8387679235516111	0.8852798307843073	0.7697645600991326
20	0.5477940460278262	0.8517259691980882	0.8658914774619366	0.7816604708945737
21	0.5138707895514437	0.8572490706826168	0.8115200729027409	0.7903345724907063
22	0.4546250146782531	0.8741370154009559	0.7972253148588254	0.7952912019826518
23	0.4205868121701482	0.8792352629290321	0.7728256786696825	0.8034696406443619
24	0.3930338730092892	0.8916622411552668	0.8049283843796788	0.7895910780669145
25	0.4149873941804397	0.8822092405735529	0.7432214749790036	0.8039653035935563
26	0.38304999151954106	0.8894317578332448	0.7399073856766192	0.809913258983891
27	0.33695566647874503	0.9066383431202164	0.6969492576970191	0.8228004956777211
28	0.3140080168851183	0.9118428040487743	0.7649134759861593	0.808178438676482
29	0.34224129116921365	0.9031332979414985	0.7310887153263872	0.8123915737298637
