epoch;acc;loss;val_acc;val_loss
0;0.047383471892;4.59821156509;0.104750006124;4.05167280865
1;0.0918348878458;4.01504556333;0.225937630142;3.43865636075
2;0.17474088106;3.4428240332;0.429876779114;2.51952259819
3;0.275504663538;2.88474740283;0.571054114308;1.8651804881
4;0.36861855521;2.43424692715;0.678155851167;1.36277621066
5;0.448749351443;2.07286585643;0.745400651636;1.08480961698
6;0.513097723125;1.80202197708;0.77746748001;0.912212823394
7;0.562435898982;1.58355236941;0.811959530669;0.774377052844
8;0.609035076068;1.40076547729;0.837289630374;0.669172824423
9;0.643399254308;1.25604206236;0.85299233241;0.576724745707
10;0.673624769226;1.14098176739;0.864652997265;0.525861445516
11;0.699892611947;1.04336630058;0.879620783455;0.474494854958
12;0.721273694741;0.953837836491;0.885181646736;0.443021962413
13;0.742606513258;0.886832153704;0.890203571726;0.419078984463
14;0.758485466412;0.813475856776;0.896695328421;0.403716567912
15;0.776246727082;0.757036708762;0.90201121975;0.374350927713
16;0.788011149054;0.704314325727;0.912055069731;0.342313476306
17;0.799039540525;0.669696913435;0.903922000966;0.369067532857
18;0.808776862085;0.635003291099;0.887141422313;0.440698581177
19;0.81801947463;0.593009570888;0.917958893743;0.316021321537
20;0.828516958863;0.560740741023;0.922245902878;0.308534552521
21;0.83533429057;0.536969684307;0.920408613247;0.315322554058
22;0.844130458377;0.507324216218;0.924156684092;0.306149772073
23;0.850006636338;0.487792170079;0.925700007384;0.295091719001
24;0.857656527144;0.463114014737;0.921804953368;0.311919380398
25;0.866537157477;0.432627967727;0.929619558593;0.285898794113
26;0.868781447192;0.422733408404;0.925259057873;0.311508019915
27;0.875092003808;0.401631451445;0.932314250053;0.282280119457
28;0.879085874242;0.386351517421;0.919232747884;0.333704610738
29;0.884226021688;0.367937065042;0.933245143466;0.276273818019
